pixel_id,latitude,longitude,reference_percentile,heat_days,threshold_used,temperature_trend,seasonal_means,annual_max,annual_min,annual_range
3_21,-12.994130584788879,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_22,-12.994130584788879,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_23,-12.994130584788879,-38.434419431053726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_24,-12.994130584788879,-38.42543627821254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_25,-12.994130584788879,-38.41645312537134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_26,-12.994130584788879,-38.407469972530144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_27,-12.994130584788879,-38.39848681968895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_28,-12.994130584788879,-38.38950366684775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_29,-12.994130584788879,-38.380520514006555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_30,-12.994130584788879,-38.37153736116536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_31,-12.994130584788879,-38.36255420832417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_32,-12.994130584788879,-38.35357105548297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_33,-12.994130584788879,-38.34458790264178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_34,-12.994130584788879,-38.33560474980058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_35,-12.994130584788879,-38.326621596959384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_36,-12.994130584788879,-38.31763844411819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_37,-12.994130584788879,-38.308655291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_0,-12.985147431947684,-38.69493086344839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_1,-12.985147431947684,-38.685947710607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_2,-12.985147431947684,-38.676964557766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_3,-12.985147431947684,-38.6679814049248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_4,-12.985147431947684,-38.658998252083606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_5,-12.985147431947684,-38.65001509924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_6,-12.985147431947684,-38.64103194640122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_7,-12.985147431947684,-38.632048793560024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_8,-12.985147431947684,-38.62306564071883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_9,-12.985147431947684,-38.61408248787763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_10,-12.985147431947684,-38.605099335036435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_11,-12.985147431947684,-38.542217265148075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_12,-12.985147431947684,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_13,-12.985147431947684,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_14,-12.985147431947684,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_15,-12.985147431947684,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_16,-12.985147431947684,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_17,-12.985147431947684,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_18,-12.985147431947684,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_19,-12.985147431947684,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_20,-12.985147431947684,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_21,-12.985147431947684,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_22,-12.985147431947684,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_23,-12.985147431947684,-38.434419431053726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_24,-12.985147431947684,-38.42543627821254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_25,-12.985147431947684,-38.41645312537134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_26,-12.985147431947684,-38.407469972530144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_27,-12.985147431947684,-38.39848681968895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_28,-12.985147431947684,-38.38950366684775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_29,-12.985147431947684,-38.380520514006555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_30,-12.985147431947684,-38.37153736116536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_31,-12.985147431947684,-38.36255420832417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_32,-12.985147431947684,-38.35357105548297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_33,-12.985147431947684,-38.34458790264178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_34,-12.985147431947684,-38.33560474980058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_35,-12.985147431947684,-38.326621596959384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_36,-12.985147431947684,-38.31763844411819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_37,-12.985147431947684,-38.308655291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_0,-12.976164279106488,-38.69493086344839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_1,-12.976164279106488,-38.685947710607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_2,-12.976164279106488,-38.676964557766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_3,-12.976164279106488,-38.6679814049248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_4,-12.976164279106488,-38.658998252083606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_5,-12.976164279106488,-38.65001509924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_6,-12.976164279106488,-38.64103194640122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_7,-12.976164279106488,-38.632048793560024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_8,-12.976164279106488,-38.62306564071883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
